 min,protein code,molecular feature z score neg,,max,protein code,molecular feature z score pos,File number
min,YDR323C_idr_6,-11.60188298,,max,YDR323C_idr_6,3.268079326,
min,YDR324C_idr_2,-6.674895544,,max,YDR324C_idr_2,0.759463215,
min,YDR325W_idr_5,-5.531676968,,max,YDR325W_idr_5,4.107054251,
min,YDR325W_idr_9,-10.79812057,,max,YDR325W_idr_9,3.234689203,
min,YDR326C_idr_1,-15.29392944,,max,YDR326C_idr_1,6.537168084,
min,YDR326C_idr_4,-2.870262335,,max,YDR326C_idr_4,6.496236432,
min,YDR326C_idr_6,-3.931901659,,max,YDR326C_idr_6,2.318633804,
min,YDR326C_idr_7,-11.06227453,,max,YDR326C_idr_7,2.860672511,
min,YDR328C_idr_2,-4.952579017,,max,YDR328C_idr_2,2.267310637,
min,YDR329C_idr_4,-2.868521309,,max,YDR329C_idr_4,2.947126245,
min,YDR330W_idr_2,-5.834934014,,max,YDR330W_idr_2,4.323178576,
min,YDR330W_idr_5,-6.798132592,,max,YDR330W_idr_5,2.234760303,
min,YDR330W_idr_7,-6.30101025,,max,YDR330W_idr_7,3.144447632,
min,YDR331W_idr_1,-6.08361922,,max,YDR331W_idr_1,1.925291792,
min,YDR332W_idr_3,-10.64705631,,max,YDR332W_idr_3,1.875605357,
min,YDR333C_idr_5,-18.06367211,,max,YDR333C_idr_5,3.562184156,
min,YDR333C_idr_7,-6.031933108,,max,YDR333C_idr_7,0.931963323,
min,YDR334W_idr_10,-6.185881077,,max,YDR334W_idr_10,3.239404731,
min,YDR334W_idr_14,-12.10148277,,max,YDR334W_idr_14,0.78337814,
min,YDR334W_idr_17,-5.045278248,,max,YDR334W_idr_17,2.028682863,
min,YDR334W_idr_3,-10.20270057,,max,YDR334W_idr_3,3.123843953,
min,YDR334W_idr_9,-6.318952475,,max,YDR334W_idr_9,2.777359242,
min,YDR335W_idr_8,-4.571565035,,max,YDR335W_idr_8,1.709666497,
min,YDR337W_idr_1,-6.362738959,,max,YDR337W_idr_1,2.293976115,
min,YDR338C_idr_4,-4.616320977,,max,YDR338C_idr_4,3.850669369,
min,YDR342C_idr_1,-3.756069407,,max,YDR342C_idr_1,2.483935573,
min,YDR343C_idr_1,-4.263147843,,max,YDR343C_idr_1,11.83073009,
min,YDR345C_idr_1,-5.185021013,,max,YDR345C_idr_1,1.980888016,
min,YDR346C_idr_2,-2.401874117,,max,YDR346C_idr_2,5.386623425,
min,YDR348C_idr_1,-16.03698276,,max,YDR348C_idr_1,4.142808717,
min,YDR348C_idr_3,-15.18003648,,max,YDR348C_idr_3,3.900883712,
min,YDR349C_idr_5,-7.301236415,,max,YDR349C_idr_5,2.088463833,
min,YDR349C_idr_7,-5.763178604,,max,YDR349C_idr_7,2.172172574,
min,YDR351W_idr_1,-4.114108097,,max,YDR351W_idr_1,6.016086429,
min,YDR351W_idr_2,-4.289049159,,max,YDR351W_idr_2,7.497535869,
min,YDR356W_idr_2,-2.663060224,,max,YDR356W_idr_2,3.642761927,
min,YDR356W_idr_4,-8.586326128,,max,YDR356W_idr_4,2.027925672,
min,YDR356W_idr_5,-4.844397072,,max,YDR356W_idr_5,4.25153066,
min,YDR356W_idr_7,-4.240961887,,max,YDR356W_idr_7,2.744139767,
min,YDR358W_idr_2,-3.691337925,,max,YDR358W_idr_2,2.984002254,
min,YDR358W_idr_3,-4.089329411,,max,YDR358W_idr_3,4.668884432,
min,YDR359C_idr_1,-3.489448974,,max,YDR359C_idr_1,2.91712305,
min,YDR359C_idr_11,-5.897469899,,max,YDR359C_idr_11,2.405864845,
min,YDR359C_idr_4,-5.96016184,,max,YDR359C_idr_4,8.572504578,
min,YDR359C_idr_6,-8.613813648,,max,YDR359C_idr_6,7.716036884,
min,YDR359C_idr_9,-2.795312414,,max,YDR359C_idr_9,3.981188818,
min,YDR361C_idr_1,-5.09299668,,max,YDR361C_idr_1,1.962804716,
min,YDR362C_idr_1,-1.960197504,,max,YDR362C_idr_1,4.522632299,
min,YDR363W_idr_4,-3.662884488,,max,YDR363W_idr_4,3.183669694,
min,YDR363W_idr_7,-16.19081278,,max,YDR363W_idr_7,3.891889168,
min,YDR365C_idr_12,-8.663826908,,max,YDR365C_idr_12,1.799309316,
min,YDR365C_idr_4,-9.649367953,,max,YDR365C_idr_4,2.148329035,
min,YDR365C_idr_5,-2.609037266,,max,YDR365C_idr_5,4.378057194,
min,YDR365C_idr_6,-11.74604581,,max,YDR365C_idr_6,1.310363805,
min,YDR365C_idr_7,-3.347842339,,max,YDR365C_idr_7,3.458144482,
min,YDR369C_idr_10,-10.56678098,,max,YDR369C_idr_10,2.947052766,
min,YDR369C_idr_12,-3.12531964,,max,YDR369C_idr_12,2.627538481,
min,YDR369C_idr_5,-13.43295673,,max,YDR369C_idr_5,1.831884074,
min,YDR369C_idr_6,-14.22532301,,max,YDR369C_idr_6,7.908823949,
min,YDR372C_idr_1,-5.694786574,,max,YDR372C_idr_1,2.957703907,
min,YDR374C_idr_2,-2.657312658,,max,YDR374C_idr_2,5.748878341,
min,YDR375C_idr_1,-14.29730187,,max,YDR375C_idr_1,4.108871058,
min,YDR379W_idr_2,-2.191198065,,max,YDR379W_idr_2,3.943371781,
min,YDR379W_idr_5,-4.440919272,,max,YDR379W_idr_5,5.882451415,1104-1203
min,YDR381W_idr_1,-5.271072125,,max,YDR381W_idr_1,4.224530735,
min,YDR381W_idr_2,-5.091470897,,max,YDR381W_idr_2,5.921726555,
min,YDR382W_idr_1,-22.52548053,,max,YDR382W_idr_1,1.313018307,
min,YDR384C_idr_1,-7.796076441,,max,YDR384C_idr_1,4.40534936,
min,YDR386W_idr_2,-9.494314462,,max,YDR386W_idr_2,1.7327805,
min,YDR386W_idr_3,-10.35961556,,max,YDR386W_idr_3,2.229252043,
min,YDR387C_idr_1,-3.167456108,,max,YDR387C_idr_1,2.77305817,
min,YDR388W_idr_3,-6.901820916,,max,YDR388W_idr_3,6.028544566,
min,YDR389W_idr_1,-5.898803564,,max,YDR389W_idr_1,4.393848285,
min,YDR389W_idr_3,-2.63570927,,max,YDR389W_idr_3,6.557674952,
min,YDR390C_idr_5,-9.642231401,,max,YDR390C_idr_5,2.842878965,
min,YDR392W_idr_2,-7.05407159,,max,YDR392W_idr_2,2.009955204,
min,YDR393W_idr_3,-7.477042176,,max,YDR393W_idr_3,1.87633405,
min,YDR393W_idr_4,-11.70621741,,max,YDR393W_idr_4,1.441600247,
min,YDR394W_idr_1,-13.50698139,,max,YDR394W_idr_1,1.822281897,
min,YDR395W_idr_4,-3.866577713,,max,YDR395W_idr_4,2.198638681,
min,YDR398W_idr_2,-6.386590818,,max,YDR398W_idr_2,5.098418457,
min,YDR406W_idr_1,-7.154314116,,max,YDR406W_idr_1,2.74235854,
min,YDR406W_idr_10,-3.702890752,,max,YDR406W_idr_10,2.654628386,
min,YDR406W_idr_9,-1.96723716,,max,YDR406W_idr_9,1.459252967,
min,YDR407C_idr_8,-6.969790091,,max,YDR407C_idr_8,1.742673759,
min,YDR407C_idr_9,-7.903901193,,max,YDR407C_idr_9,1.813978667,
min,YDR409W_idr_2,-4.095198193,,max,YDR409W_idr_2,3.488340002,
min,YDR409W_idr_4,-2.797680022,,max,YDR409W_idr_4,7.011933386,
min,YDR411C_idr_4,-5.106602117,,max,YDR411C_idr_4,10.80210992,
min,YDR412W_idr_3,-4.328193736,,max,YDR412W_idr_3,3.456332137,
min,YDR412W_idr_5,-20.7782321,,max,YDR412W_idr_5,2.319268397,
min,YDR416W_idr_2,-7.964083292,,max,YDR416W_idr_2,2.19982803,
min,YDR419W_idr_2,-3.295600268,,max,YDR419W_idr_2,6.532746437,
min,YDR420W_idr_1,-3.561279649,,max,YDR420W_idr_1,11.39730963,
min,YDR420W_idr_12,-2.911653831,,max,YDR420W_idr_12,3.328561078,
min,YDR420W_idr_15,-2.714581496,,max,YDR420W_idr_15,7.42694034,
min,YDR420W_idr_18,-2.620372378,,max,YDR420W_idr_18,4.650851239,
min,YDR420W_idr_6,-3.651928752,,max,YDR420W_idr_6,2.311495459,
min,YDR420W_idr_8,-4.782998246,,max,YDR420W_idr_8,9.767620308,
min,YDR421W_idr_6,-3.913289112,,max,YDR421W_idr_6,4.409668002,
min,YDR421W_idr_8,-3.777536593,,max,YDR421W_idr_8,2.020617716,
min,YDR422C_idr_1,-1.47440969,,max,YDR422C_idr_1,3.799465828,
min,YDR422C_idr_17,-4.14715411,,max,YDR422C_idr_17,6.660530649,
min,YDR422C_idr_4,-1.316094779,,max,YDR422C_idr_4,3.75099747,
min,YDR422C_idr_5,-2.247972262,,max,YDR422C_idr_5,3.571280919,
min,YDR422C_idr_6,-3.175418707,,max,YDR422C_idr_6,4.043164506,
min,YDR422C_idr_8,-2.749655075,,max,YDR422C_idr_8,2.227588504,
min,YDR422C_idr_9,-4.029632802,,max,YDR422C_idr_9,7.122440622,
min,YDR423C_idr_4,-0.899638387,,max,YDR423C_idr_4,6.166229652,
min,YDR425W_idr_1,-4.327072756,,max,YDR425W_idr_1,9.287060178,
min,YDR425W_idr_6,-2.142066748,,max,YDR425W_idr_6,3.239190447,
min,YDR429C_idr_2,-4.570549661,,max,YDR429C_idr_2,3.541742208,
min,YDR432W_idr_1,-5.662129933,,max,YDR432W_idr_1,5.797944893,
min,YDR432W_idr_2,-8.44332428,,max,YDR432W_idr_2,6.300584094,
min,YDR436W_idr_1,-9.773701757,,max,YDR436W_idr_1,6.445885493,
min,YDR440W_idr_1,-3.569258019,,max,YDR440W_idr_1,4.164674823,
min,YDR440W_idr_2,-3.912873991,,max,YDR440W_idr_2,4.878859879,
min,YDR443C_idr_10,-2.297254514,,max,YDR443C_idr_10,1.316519007,
min,YDR443C_idr_12,-6.216735694,,max,YDR443C_idr_12,1.440811288,
min,YDR443C_idr_9,-6.064148658,,max,YDR443C_idr_9,3.090097295,
min,YDR444W_idr_4,-2.632111057,,max,YDR444W_idr_4,3.555226482,
min,YDR446W_idr_1,-3.223845332,,max,YDR446W_idr_1,2.143112971,
min,YDR448W_idr_4,-8.549134776,,max,YDR448W_idr_4,2.674689312,
min,YDR451C_idr_1,-3.347200106,,max,YDR451C_idr_1,9.090340327,
min,YDR451C_idr_3,-3.318363074,,max,YDR451C_idr_3,3.046394442,
min,YDR451C_idr_4,-4.978429246,,max,YDR451C_idr_4,3.509993478,
min,YDR452W_idr_1,-8.878506733,,max,YDR452W_idr_1,2.958102619,
min,YDR456W_idr_1,-2.876657555,,max,YDR456W_idr_1,4.424499928,
min,YDR456W_idr_4,-14.89729557,,max,YDR456W_idr_4,4.919966591,
min,YDR457W_idr_14,-9.459455802,,max,YDR457W_idr_14,2.539192504,
min,YDR457W_idr_17,-3.238047145,,max,YDR457W_idr_17,4.726393612,
min,YDR457W_idr_19,-3.868380857,,max,YDR457W_idr_19,2.608611922,
min,YDR457W_idr_22,-3.275341402,,max,YDR457W_idr_22,1.443666489,
min,YDR457W_idr_25,-6.593298994,,max,YDR457W_idr_25,6.139295547,
min,YDR457W_idr_26,-8.034281552,,max,YDR457W_idr_26,3.881592339,
min,YDR457W_idr_30,-5.54134377,,max,YDR457W_idr_30,2.687733439,
min,YDR457W_idr_31,-5.655772475,,max,YDR457W_idr_31,1.741676636,
min,YDR457W_idr_33,-8.847927273,,max,YDR457W_idr_33,2.445465061,
min,YDR457W_idr_42,-4.83923486,,max,YDR457W_idr_42,2.044650971,
min,YDR457W_idr_44,-3.694790759,,max,YDR457W_idr_44,2.615339036,
min,YDR457W_idr_7,-4.799810193,,max,YDR457W_idr_7,5.980374063,
min,YDR458C_idr_3,-0.959394649,,max,YDR458C_idr_3,5.85567997,
min,YDR460W_idr_2,-6.09813173,,max,YDR460W_idr_2,1.704927149,
min,YDR462W_idr_1,-6.920827848,,max,YDR462W_idr_1,4.339992127,
min,YDR463W_idr_10,-3.27642076,,max,YDR463W_idr_10,5.264918426,
min,YDR463W_idr_5,-2.602220168,,max,YDR463W_idr_5,2.850281511,
min,YDR464W_idr_1,-3.597890653,,max,YDR464W_idr_1,5.668858464,
min,YDR464W_idr_3,-1.927058495,,max,YDR464W_idr_3,2.608682845,
min,YDR464W_idr_4,-3.369581679,,max,YDR464W_idr_4,4.04140291,
min,YDR464W_idr_5,-4.268470713,,max,YDR464W_idr_5,2.414279665,
min,YDR464W_idr_7,-3.217259237,,max,YDR464W_idr_7,5.329921195,
min,YDR464W_idr_9,-4.172313388,,max,YDR464W_idr_9,2.596685577,
min,YDR465C_idr_4,-7.135729487,,max,YDR465C_idr_4,5.960178273,
min,YDR466W_idr_3,-3.429642316,,max,YDR466W_idr_3,6.022845247,
min,YDR466W_idr_6,-11.44551149,,max,YDR466W_idr_6,9.660931667,
min,YDR466W_idr_8,-9.597269991,,max,YDR466W_idr_8,4.635795481,
min,YDR469W_idr_2,-7.315421223,,max,YDR469W_idr_2,4.303624919,
min,YDR470C_idr_2,-9.948619183,,max,YDR470C_idr_2,6.136582433,
min,YDR472W_idr_1,-2.367828134,,max,YDR472W_idr_1,8.28390683,
min,YDR473C_idr_1,-1.50256636,,max,YDR473C_idr_1,4.864962555,
min,YDR475C_idr_3,-4.373206559,,max,YDR475C_idr_3,3.112002236,
min,YDR475C_idr_4,-4.263497474,,max,YDR475C_idr_4,2.632541052,
min,YDR475C_idr_8,-7.216818595,,max,YDR475C_idr_8,4.482316327,
min,YDR475C_idr_9,-3.032945912,,max,YDR475C_idr_9,4.634036806,1203-1303
min,YDR477W_idr_1,-5.088309126,,max,YDR477W_idr_1,4.373019685,
min,YDR477W_idr_3,-4.177719477,,max,YDR477W_idr_3,2.810790813,
min,YDR478W_idr_3,-16.97819051,,max,YDR478W_idr_3,2.479318309,
min,YDR479C_idr_1,-3.528048298,,max,YDR479C_idr_1,3.878838014,
min,YDR479C_idr_4,-2.525672058,,max,YDR479C_idr_4,2.920969462,
min,YDR480W_idr_9,-4.51501824,,max,YDR480W_idr_9,4.440243229,
min,YDR481C_idr_1,-7.552302931,,max,YDR481C_idr_1,5.089681575,
min,YDR483W_idr_1,-2.76480319,,max,YDR483W_idr_1,4.97857874,
min,YDR484W_idr_6,-6.353169962,,max,YDR484W_idr_6,3.205746439,
min,YDR484W_idr_8,-5.2349987,,max,YDR484W_idr_8,1.796862618,
min,YDR485C_idr_1,-7.331873196,,max,YDR485C_idr_1,3.768656262,
min,YDR485C_idr_2,-4.016477029,,max,YDR485C_idr_2,3.11109962,
min,YDR488C_idr_2,-3.744917319,,max,YDR488C_idr_2,3.563332558,
min,YDR488C_idr_3,-3.708778711,,max,YDR488C_idr_3,3.807128135,
min,YDR489W_idr_1,-8.978662519,,max,YDR489W_idr_1,1.686203855,
min,YDR490C_idr_1,-3.664852465,,max,YDR490C_idr_1,6.226441539,
min,YDR490C_idr_10,-13.50089686,,max,YDR490C_idr_10,4.110555939,
min,YDR490C_idr_8,-1.697190215,,max,YDR490C_idr_8,6.3269855,
min,YDR494W_idr_2,-14.32762127,,max,YDR494W_idr_2,2.934900903,
min,YDR495C_idr_1,-4.731350553,,max,YDR495C_idr_1,4.855429388,
min,YDR495C_idr_9,-6.570875308,,max,YDR495C_idr_9,3.433603432,
min,YDR496C_idr_1,-9.932738093,,max,YDR496C_idr_1,4.117410659,
min,YDR497C_idr_1,-13.1949037,,max,YDR497C_idr_1,3.01405015,
min,YDR498C_idr_5,-7.831837098,,max,YDR498C_idr_5,3.993278148,
min,YDR499W_idr_4,-4.563842595,,max,YDR499W_idr_4,1.885354312,
min,YDR501W_idr_1,-1.836369209,,max,YDR501W_idr_1,4.333240622,
min,YDR501W_idr_2,-2.941609744,,max,YDR501W_idr_2,2.057247073,
min,YDR501W_idr_4,-1.80795537,,max,YDR501W_idr_4,3.410716754,
min,YDR505C_idr_2,-5.830490728,,max,YDR505C_idr_2,7.433083532,
min,YDR507C_idr_5,-4.198243239,,max,YDR507C_idr_5,4.422197153,
min,YDR508C_idr_1,-10.33026063,,max,YDR508C_idr_1,5.822527732,
min,YDR508C_idr_2,-13.8700388,,max,YDR508C_idr_2,3.157536479,
min,YDR513W_idr_1,-3.69209026,,max,YDR513W_idr_1,2.825134736,
min,YDR515W_idr_1,-12.77615444,,max,YDR515W_idr_1,5.396141119,
min,YDR515W_idr_4,-10.79802169,,max,YDR515W_idr_4,4.275473895,
min,YDR517W_idr_8,-7.134890452,,max,YDR517W_idr_8,3.562770037,
min,YDR520C_idr_1,-3.084250843,,max,YDR520C_idr_1,3.07874756,
min,YDR520C_idr_3,-4.074561595,,max,YDR520C_idr_3,3.998960743,
min,YDR520C_idr_9,-4.150306575,,max,YDR520C_idr_9,2.918121287,
min,YDR522C_idr_2,-3.590544159,,max,YDR522C_idr_2,3.396705132,
min,YDR523C_idr_2,-2.6982315,,max,YDR523C_idr_2,3.249530101,
min,YDR524C_idr_4,-1.433676244,,max,YDR524C_idr_4,3.385334391,
min,YDR524C_idr_8,-5.256380466,,max,YDR524C_idr_8,3.086135343,
min,YDR527W_idr_1,-7.143967448,,max,YDR527W_idr_1,5.598628563,
min,YDR527W_idr_4,-4.814001182,,max,YDR527W_idr_4,7.391844418,
min,YEL001C_idr_1,-2.88293557,,max,YEL001C_idr_1,2.547345516,
min,YEL005C_idr_2,-1.378330588,,max,YEL005C_idr_2,5.700085515,
min,YEL007W_idr_2,-4.086413888,,max,YEL007W_idr_2,4.48330146,
min,YEL007W_idr_3,-6.127588369,,max,YEL007W_idr_3,8.28999361,
min,YEL007W_idr_8,-5.303393969,,max,YEL007W_idr_8,7.263041481,
min,YEL009C_idr_1,-4.680414367,,max,YEL009C_idr_1,5.54761092,
min,YEL009C_idr_3,-4.653142341,,max,YEL009C_idr_3,3.201246681,
min,YEL012W_idr_2,-4.78930223,,max,YEL012W_idr_2,4.700378744,
min,YEL015W_idr_3,-2.985871866,,max,YEL015W_idr_3,7.738543642,
min,YEL015W_idr_5,-7.40396853,,max,YEL015W_idr_5,4.496077175,
min,YEL022W_idr_12,-2.488262046,,max,YEL022W_idr_12,3.540638923,
min,YEL022W_idr_13,-4.807091131,,max,YEL022W_idr_13,3.427304929,
min,YEL022W_idr_17,-2.728430124,,max,YEL022W_idr_17,5.244453722,
min,YEL022W_idr_2,-4.356574411,,max,YEL022W_idr_2,1.240842782,
min,YEL022W_idr_3,-7.378117303,,max,YEL022W_idr_3,1.965631491,
min,YEL022W_idr_7,-3.537713484,,max,YEL022W_idr_7,1.504710906,
min,YEL024W_idr_1,-8.454336435,,max,YEL024W_idr_1,2.581191266,
min,YEL031W_idr_11,-10.3521004,,max,YEL031W_idr_11,1.763080986,
min,YEL031W_idr_2,-8.989638201,,max,YEL031W_idr_2,1.890806128,
min,YEL032W_idr_9,-7.904321462,,max,YEL032W_idr_9,5.096325478,
min,YEL036C_idr_1,-6.082143944,,max,YEL036C_idr_1,1.762116641,
min,YEL036C_idr_3,-14.5194041,,max,YEL036C_idr_3,9.681928327,
min,YEL037C_idr_1,-10.43041502,,max,YEL037C_idr_1,3.711021622,
min,YEL037C_idr_2,-8.254600276,,max,YEL037C_idr_2,6.251192346,
min,YEL037C_idr_3,-3.60660811,,max,YEL037C_idr_3,3.204646573,
min,YEL040W_idr_3,-4.275951578,,max,YEL040W_idr_3,3.601018848,
min,YEL041W_idr_1,-1.69167749,,max,YEL041W_idr_1,5.436095592,
min,YEL041W_idr_6,-6.001457481,,max,YEL041W_idr_6,3.33761135,
min,YEL042W_idr_2,-2.787459393,,max,YEL042W_idr_2,2.33744732,
min,YEL043W_idr_3,-1.76997406,,max,YEL043W_idr_3,7.335023171,
min,YEL043W_idr_6,-2.294839161,,max,YEL043W_idr_6,8.056512084,
min,YEL043W_idr_7,-10.37780649,,max,YEL043W_idr_7,5.850401417,
min,YEL050C_idr_1,-6.6646232,,max,YEL050C_idr_1,4.30718533,
min,YEL051W_idr_2,-2.239162713,,max,YEL051W_idr_2,4.034118759,
min,YEL052W_idr_5,-2.932045716,,max,YEL052W_idr_5,2.2063598,
min,YEL053C_idr_2,-7.4542747,,max,YEL053C_idr_2,1.049628046,
min,YEL055C_idr_3,-4.841691041,,max,YEL055C_idr_3,5.3246467,
min,YEL060C_idr_2,-4.930452915,,max,YEL060C_idr_2,6.710967105,
min,YEL061C_idr_1,-4.895691108,,max,YEL061C_idr_1,3.049011854,
min,YEL061C_idr_11,-3.339101085,,max,YEL061C_idr_11,3.003722481,
min,YEL061C_idr_6,-4.111025808,,max,YEL061C_idr_6,2.414409029,
min,YEL061C_idr_9,-4.937790098,,max,YEL061C_idr_9,4.450852082,
min,YEL062W_idr_4,-3.192484582,,max,YEL062W_idr_4,3.937076741,
min,YEL062W_idr_5,-2.949102075,,max,YEL062W_idr_5,5.531685265,
min,YEL063C_idr_1,-14.04833451,,max,YEL063C_idr_1,1.527841922,
min,YEL064C_idr_1,-4.038808256,,max,YEL064C_idr_1,3.852235345,
min,YER002W_idr_2,-3.733743717,,max,YER002W_idr_2,2.276649662,
min,YER005W_idr_5,-3.807441054,,max,YER005W_idr_5,6.338656481,
min,YER006W_idr_1,-14.6836627,,max,YER006W_idr_1,1.062988047,
min,YER006W_idr_7,-12.24516987,,max,YER006W_idr_7,1.677434348,
min,YER008C_idr_1,-7.180039598,,max,YER008C_idr_1,5.203920513,
min,YER008C_idr_14,-2.600291553,,max,YER008C_idr_14,2.469900124,
min,YER008C_idr_8,-6.996683514,,max,YER008C_idr_8,6.29166182,
min,YER011W_idr_3,-6.18729628,,max,YER011W_idr_3,7.324820964,
min,YER013W_idr_17,-5.582973702,,max,YER013W_idr_17,1.544509247,1304-1403
min,YER013W_idr_7,-8.787265163,,max,YER013W_idr_7,1.78707855,
min,YER013W_idr_9,-3.233158121,,max,YER013W_idr_9,1.460982913,
min,YER016W_idr_2,-14.1055667,,max,YER016W_idr_2,5.746314236,
min,YER016W_idr_4,-7.030261158,,max,YER016W_idr_4,3.929068448,
min,YER017C_idr_1,-9.996297751,,max,YER017C_idr_1,3.154158534,
min,YER019C-A_idr_1,-4.979453227,,max,YER019C-A_idr_1,1.49927643,
min,YER020W_idr_1,-3.194989786,,max,YER020W_idr_1,7.65705026,
min,YER021W_idr_3,-5.728288471,,max,YER021W_idr_3,1.382540422,
min,YER022W_idr_10,-13.95200795,,max,YER022W_idr_10,3.54514355,
min,YER022W_idr_8,-9.474282826,,max,YER022W_idr_8,2.825345698,
min,YER024W_idr_11,-4.063404212,,max,YER024W_idr_11,3.352170407,
min,YER024W_idr_2,-3.342426168,,max,YER024W_idr_2,4.113471661,
min,YER024W_idr_3,-5.148325703,,max,YER024W_idr_3,3.102407595,
min,YER025W_idr_1,-8.912030602,,max,YER025W_idr_1,1.404965772,
min,YER026C_idr_1,-5.47903197,,max,YER026C_idr_1,2.997247173,
min,YER027C_idr_1,-4.99402423,,max,YER027C_idr_1,5.701819301,
min,YER027C_idr_2,-13.98436645,,max,YER027C_idr_2,10.34596087,
min,YER028C_idr_10,-4.067386032,,max,YER028C_idr_10,3.587713927,
min,YER028C_idr_8,-4.033973409,,max,YER028C_idr_8,9.652052578,
min,YER029C_idr_3,-4.385715078,,max,YER029C_idr_3,5.406286498,
min,YER030W_idr_1,-7.901791184,,max,YER030W_idr_1,3.538233441,
min,YER031C_idr_2,-10.47780315,,max,YER031C_idr_2,1.769624433,
min,YER032W_idr_12,-3.11874448,,max,YER032W_idr_12,2.006352186,
min,YER032W_idr_2,-2.578745883,,max,YER032W_idr_2,4.912251755,
min,YER032W_idr_3,-2.384138405,,max,YER032W_idr_3,2.298881288,
min,YER032W_idr_4,-8.867044143,,max,YER032W_idr_4,2.538868753,
min,YER032W_idr_5,-2.11163306,,max,YER032W_idr_5,4.293489764,
min,YER032W_idr_9,-3.424730099,,max,YER032W_idr_9,2.769182371,
min,YER033C_idr_1,-3.326902552,,max,YER033C_idr_1,4.693294984,
min,YER033C_idr_2,-4.653427193,,max,YER033C_idr_2,2.916103958,
min,YER038C_idr_2,-8.681816074,,max,YER038C_idr_2,1.686738755,
min,YER040W_idr_1,-4.300189413,,max,YER040W_idr_1,4.299942784,
min,YER040W_idr_2,-5.348293247,,max,YER040W_idr_2,8.503043489,
min,YER040W_idr_3,-6.818941068,,max,YER040W_idr_3,8.813162616,
min,YER041W_idr_6,-2.823739026,,max,YER041W_idr_6,4.118542192,
min,YER041W_idr_7,-3.450762634,,max,YER041W_idr_7,9.882759898,
min,YER045C_idr_12,-4.845852457,,max,YER045C_idr_12,4.517818405,
min,YER045C_idr_9,-5.851032085,,max,YER045C_idr_9,5.58653611,
min,YER047C_idr_4,-13.05139671,,max,YER047C_idr_4,6.007617233,
min,YER048C_idr_2,-7.18794498,,max,YER048C_idr_2,6.467280082,
min,YER054C_idr_5,-10.2995326,,max,YER054C_idr_5,3.469504216,
min,YER054C_idr_7,-8.160707191,,max,YER054C_idr_7,2.663650166,
min,YER054C_idr_8,-2.986371135,,max,YER054C_idr_8,5.55568058,
min,YER056C_idr_1,-7.14515775,,max,YER056C_idr_1,1.712785994,
min,YER059W_idr_1,-4.230672737,,max,YER059W_idr_1,5.540406746,
min,YER060W-A_idr_1,-8.914041555,,max,YER060W-A_idr_1,2.149071854,
min,YER063W_idr_2,-6.601281709,,max,YER063W_idr_2,6.306531058,
min,YER063W_idr_4,-11.45620694,,max,YER063W_idr_4,4.892444458,
min,YER064C_idr_2,-6.229128463,,max,YER064C_idr_2,3.282127118,
min,YER064C_idr_3,-2.256544658,,max,YER064C_idr_3,5.411640611,
min,YER068W_idr_7,-7.833175149,,max,YER068W_idr_7,7.645185073,
min,YER068W_idr_9,-6.489343349,,max,YER068W_idr_9,11.25493087,
min,YER069W_idr_1,-3.919540522,,max,YER069W_idr_1,8.905886485,
min,YER069W_idr_2,-4.269756773,,max,YER069W_idr_2,2.237147429,
min,YER070W_idr_1,-7.805130552,,max,YER070W_idr_1,3.61393724,
min,YER075C_idr_1,-2.99230237,,max,YER075C_idr_1,4.927556256,
min,YER075C_idr_11,-2.804859226,,max,YER075C_idr_11,4.263446108,
min,YER075C_idr_12,-6.089896193,,max,YER075C_idr_12,3.137515661,
min,YER075C_idr_14,-3.542933377,,max,YER075C_idr_14,5.467671567,
min,YER075C_idr_17,-3.220016746,,max,YER075C_idr_17,2.509895854,
min,YER080W_idr_1,-9.673730859,,max,YER080W_idr_1,3.581234613,
min,YER081W_idr_1,-5.109444846,,max,YER081W_idr_1,1.676150658,
min,YER082C_idr_3,-8.734440085,,max,YER082C_idr_3,1.801873817,
min,YER083C_idr_2,-10.51938449,,max,YER083C_idr_2,4.128695949,
min,YER086W_idr_1,-6.177619315,,max,YER086W_idr_1,2.435158122,
min,YER087C-B_idr_1,-4.977336455,,max,YER087C-B_idr_1,2.068731771,
min,YER088C_idr_1,-2.156096469,,max,YER088C_idr_1,3.43892703,
min,YER088C_idr_2,-6.685800642,,max,YER088C_idr_2,7.186512573,
min,YER088C_idr_3,-7.925664531,,max,YER088C_idr_3,4.752578294,
min,YER088C_idr_4,-8.213965728,,max,YER088C_idr_4,4.42001963,
min,YER089C_idr_2,-8.917291275,,max,YER089C_idr_2,4.99843927,
min,YER093C_idr_1,-4.716109642,,max,YER093C_idr_1,4.955949269,
min,YER093C_idr_3,-8.684533677,,max,YER093C_idr_3,2.514796349,
min,YER093C_idr_7,-10.31766404,,max,YER093C_idr_7,3.041043042,
min,YER093C_idr_9,-6.440318401,,max,YER093C_idr_9,1.892470748,
min,YER095W_idr_1,-7.008635223,,max,YER095W_idr_1,3.500984555,
min,YER096W_idr_2,-2.233216377,,max,YER096W_idr_2,4.487596272,
min,YER098W_idr_1,-2.575319205,,max,YER098W_idr_1,5.516063596,
min,YER098W_idr_2,-8.069329906,,max,YER098W_idr_2,7.07212771,
min,YER098W_idr_5,-3.555434339,,max,YER098W_idr_5,5.444799558,
